model,modelLabel,startProduction,predecessorLabel,successorLabel,height,width,length,mass,website,image
http://www.wikidata.org/entity/Q391902,Škoda 637,,,,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/%C5%A0koda%20637%20%281934%29%2005.jpg
http://www.wikidata.org/entity/Q391904,Škoda 645,,,,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Techno%20Classica%202018%2C%20Essen%20%28IMG%209665%29.jpg
http://www.wikidata.org/entity/Q391912,Škoda 650,,,,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/%C5%A0koda%20650%20%281934%29.jpg
http://www.wikidata.org/entity/Q10404450,Škoda 740,,,,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/SkodaPrototyp740.JPG
http://www.wikidata.org/entity/Q391932,Škoda 860,,,,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/2014%20%C5%A0koda%20Museum%2C%20%C5%A0koda%20860%201932%2001.JPG
http://www.wikidata.org/entity/Q9396974,Škoda 903,,,,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/BAHNA%202018%20-%20670.jpg
http://www.wikidata.org/entity/Q391934,Škoda 932,,,,,,,,,
http://www.wikidata.org/entity/Q391937,Škoda 935,,,,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/%C5%A0koda%20935.jpg
http://www.wikidata.org/entity/Q391939,Škoda 973,,Q11838654,,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/%C5%A0koda%20Museum%20-%20%C5%A0koda%20973%20Babeta.JPG
http://www.wikidata.org/entity/Q63978770,Škoda Citigo-e iV,,,,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Skoda%20Citigo-e%20iV%20at%20IAA%202019%20IMG%200269.jpg
http://www.wikidata.org/entity/Q118911224,Škoda Eltra,,,,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/1992%20Skoda%20Elmo%20Pick%20Up.jpg
http://www.wikidata.org/entity/Q391958,Škoda F3,,,,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Skoda-museum-mlada-boleslav-rr-118.jpg
http://www.wikidata.org/entity/Q20354830,Škoda Fabia R5,,Škoda Fabia S2000,Škoda Fabia Rally2 evo,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Rally%20de%20Portugal%202019%20-%20%C5%A0KODA%20FABIA%20Rally2%20evo.jpg
http://www.wikidata.org/entity/Q112663761,Škoda Fabia RS Rally2,,,,,,,,https://www.skoda-motorsport.com/en/skoda-fabia-rs-rally2,http://commons.wikimedia.org/wiki/Special:FilePath/2022%20Bohemia%20Rally%20Mlad%C3%A1%20Boleslav%20-%20Mikkelsen%2C%20%C5%A0koda%20Fabia%20RS%20Rally2.jpg
http://www.wikidata.org/entity/Q112663761,Škoda Fabia RS Rally2,,,,,,,,https://www.skoda-motorsport.com/en/skoda-fabia-rs-rally2,http://commons.wikimedia.org/wiki/Special:FilePath/2023%20Bohemia%20Rally%20Mlad%C3%A1%20Boleslav%20-%20Kopeck%C3%BD.jpg
http://www.wikidata.org/entity/Q65042038,Škoda Fabia Rally2 evo,,Škoda Fabia R5,,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Rally%20de%20Portugal%202019%20-%20%C5%A0KODA%20FABIA%20Rally2%20evo.jpg
http://www.wikidata.org/entity/Q257578,Škoda Fabia S2000,,Škoda Fabia WRC,Škoda Fabia R5,,,4000,,,http://commons.wikimedia.org/wiki/Special:FilePath/%C5%A0kodaFabiaS2000%282009%29.jpg
http://www.wikidata.org/entity/Q391999,Škoda Favorit,,Škoda 430,,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/2007-08-cesko-207.jpg
http://www.wikidata.org/entity/Q90701223,Škoda Favorit prototype,,,,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/SkodaFavoritCoupe.JPG
http://www.wikidata.org/entity/Q90701327,Škoda Favorit sedan,,,,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/%C5%A0koda%20auto%20museum%20FSedan.JPG
http://www.wikidata.org/entity/Q391899,Škoda Felicia,,Škoda 440,,1380,1600,4065,,,http://commons.wikimedia.org/wiki/Special:FilePath/13-04-05-Skoda%20Museum%20Mlad%C3%A1%20Boleslav%20by%20RalfR-014%20%28cropped%29.jpg
http://www.wikidata.org/entity/Q90882163,Škoda Felicia Fun,,,,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/%C5%A0koda%20Felicia%20Fun%20at%20Legendy%202018%20in%20Prague.jpg
http://www.wikidata.org/entity/Q8082809,Škoda Felicia Kit Car,,,,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Rally%20Bohemia%202011%20-%20Bro%C5%BE.jpg
http://www.wikidata.org/entity/Q9396975,Škoda Forman,,,,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Brno%2C%20%C4%8Cern%C3%A1%20Pole%2C%20Pflegrova%2C%20%C5%A0koda%20Forman%20%282022-05-28%3B%2001%29%20%28cropped%29.jpg
http://www.wikidata.org/entity/Q90701195,Škoda Forman Plus,,,,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Brno%2C%20Wurmova%2C%20%C5%A0koda%20Forman%20Plus.jpg
http://www.wikidata.org/entity/Q90701197,Škoda Forman Praktik,,,,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Pardubice%2C%20s%C3%ADdli%C5%A1t%C4%9B%20Dubina%2C%20Jana%20Zaj%C3%ADce%2C%20%C5%A0koda%20Forman%20Praktik.jpg
http://www.wikidata.org/entity/Q257346,Škoda Garde,,Škoda 110 R,Škoda Rapid (1984),1380,1610,4170,855,,http://commons.wikimedia.org/wiki/Special:FilePath/Skoda%20rapid%20001.jpg
http://www.wikidata.org/entity/Q10404742,Škoda HS-300,,,,,,,,,
http://www.wikidata.org/entity/Q392006,Škoda Joyster,,,,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/%C5%A0koda%20Joyster.jpg
http://www.wikidata.org/entity/Q59572019,Škoda Kodiaq GT,,,,1649,1883,4634,,,http://commons.wikimedia.org/wiki/Special:FilePath/Skoda%20Kodiaq%20GT%20001.jpg
http://www.wikidata.org/entity/Q90700853,Škoda Kodiaq RS,,,,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Skoda%20Kodiaq%20RS%20at%20IAA%202019%20IMG%200788.jpg
http://www.wikidata.org/entity/Q392013,Škoda MOŽ-2,,,,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/%C5%A0koda%20MO%C5%BD-2%2C%20VTM%20Le%C5%A1any.jpg
http://www.wikidata.org/entity/Q392012,Škoda MissionL,,,Škoda Rapid,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/11-09-04-iaa-by-RalfR-394.jpg
http://www.wikidata.org/entity/Q90882055,Škoda Octavia Combi (1961 - 1971),,,,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/2010-07-30%20Skoda%20Octavia%20Combi%20%281959%20-%201971%29%20%282%29.jpg
http://www.wikidata.org/entity/Q16689282,Škoda Octavia RS,,,,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Skoda%20Octavia%20IV%20RS%20IMG%204251.jpg
http://www.wikidata.org/entity/Q10396630,Škoda Octavia Scout,,,,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/2016%20Skoda%20Octavia%20Scout%20TDi%204X4%202.0%20Front.jpg
http://www.wikidata.org/entity/Q90883266,Škoda Octavia Super,,,,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/%C5%A0koda%20Octavia.jpeg
http://www.wikidata.org/entity/Q90883477,Škoda Octavia Touring Sport (1960 - 1964),,,,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/286.%20Pekka%20Anttalainen%20and%20Tapani%20Valo%2C%20Skoda%20Octavia%20TS%20%286002644365%29.jpg
http://www.wikidata.org/entity/Q90701201,Škoda Pick-up,,,,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Skoda%20Favorit%20LX%20Pick%20up%201995%20%2826525339629%29.jpg
http://www.wikidata.org/entity/Q90701134,Škoda Rapid (China),,,,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/%C5%A0koda%20Rapid%20CN%20China%202013-03-03.jpg
http://www.wikidata.org/entity/Q392040,Škoda Rapid 2200,,,,,,,1350,,
http://www.wikidata.org/entity/Q392047,Škoda Rapid Six,,,,,,,1050,,
http://www.wikidata.org/entity/Q23661383,Škoda Rapid Spaceback,,,,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Skoda%20Rapid%20Spaceback%201.2%20TSI%20Style%20Plus%20%E2%80%93%20Frontansicht%2C%2015.%20M%C3%A4rz%202014%2C%20D%C3%BCsseldorf.jpg
http://www.wikidata.org/entity/Q90701141,Škoda Rapid Sport,,,,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Rapid%20Sport.jpg
http://www.wikidata.org/entity/Q392052,Škoda Sagitta,,,,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Skoda%20Sagitta%201936-1937%20seitlich.JPG
http://www.wikidata.org/entity/Q13634413,Škoda Sentinel,,,,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Brno%2C%20%C5%98e%C4%8Dkovice%2C%20depozit%C3%A1%C5%99%20TMB%2C%20DOD%202013%2C%20%C5%A0koda%20Sentinel%20%2801%29.jpg
http://www.wikidata.org/entity/Q392054,Škoda Sport,,,,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/1950%20Skoda%201101%20Sport%20IMG%203047%20-%20Flickr%20-%20nemor2.jpg
http://www.wikidata.org/entity/Q10403396,Škoda Super Sport,,,,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Skoda%20110%20Super%20sport%20%27Ferat%27%20type%20724%20pic7.JPG
http://www.wikidata.org/entity/Q392063,Škoda Superb I,,,Škoda Superb II,1469,1765,4803,,,http://commons.wikimedia.org/wiki/Special:FilePath/SkodaSuperb.jpg
http://www.wikidata.org/entity/Q392067,Škoda Superb II,,Škoda Superb I,Škoda Superb III,,1817,,,,http://commons.wikimedia.org/wiki/Special:FilePath/2009%20Skoda%20Superb%20Elegance%20CRTDi%20Automatic%202.0%20Front.jpg
http://www.wikidata.org/entity/Q19758190,Škoda Superb III,,Škoda Superb II,,1468,1864,4856,,,http://commons.wikimedia.org/wiki/Special:FilePath/2018%20Skoda%20Superb%20SE%20L%20Executive%20TSi%201.4.jpg
